price,kms_driven,owner,age,power,brand
35000.0,17654.0,1,3,110.0,8
65000.0,16329.0,1,4,180.0,8
80000.0,10000.0,1,3,150.0,5
53499.0,25000.0,1,6,150.0,5
85000.0,8200.0,1,3,160.0,6
72000.0,20000.0,1,7,150.0,5
95000.0,9665.0,1,4,250.0,5
78000.0,9900.0,1,4,200.0,3
29499.0,20000.0,1,8,100.0,3
29900.0,20000.0,1,7,125.0,3
90000.0,11574.0,1,3,200.0,3
120000.0,23000.0,1,3,200.0,3
48000.0,24725.0,1,5,150.0,7
29900.0,20000.0,1,7,125.0,3
120000.0,23000.0,1,3,200.0,3
48000.0,24725.0,1,5,150.0,7
45000.0,23000.0,1,6,150.0,5
78000.0,9900.0,1,4,200.0,3
50000.0,19000.0,1,8,150.0,3
88000.0,21914.0,1,3,200.0,3
40900.0,15000.0,1,6,220.0,3
40000.0,30000.0,1,8,150.0,6
65000.0,43000.0,1,6,150.0,6
45000.0,36100.0,1,6,220.0,3
110000.0,2550.0,1,2,220.0,3
38000.0,35000.0,1,9,200.0,3
28000.0,45000.0,1,2,110.0,12
97000.0,4400.0,1,3,150.0,7
60000.0,30000.0,1,5,160.0,8
40000.0,64000.0,1,7,220.0,3
34500.0,17056.0,1,5,110.0,6
30200.0,45000.0,1,7,150.0,7
25000.0,38000.0,1,9,150.0,3
80000.0,6000.0,1,3,220.0,3
29500.0,40700.0,1,12,220.0,3
27000.0,44410.0,1,10,125.0,3
45000.0,17757.0,1,8,180.0,3
146000.0,3900.0,1,2,250.0,5
30000.0,8250.0,1,3,100.0,3
93100.0,10000.0,1,5,200.0,3
38000.0,33000.0,1,7,125.0,6
14700.0,10000.0,1,11,135.0,3
40000.0,27000.0,1,7,220.0,3
50000.0,19000.0,1,6,150.0,5
75000.0,11575.0,1,4,200.0,3
47000.0,8600.0,1,4,150.0,3
60000.0,2000.0,1,2,150.0,3
96700.0,5100.0,1,1,150.0,7
35000.0,44480.0,1,13,150.0,3
68000.0,16000.0,1,7,250.0,6
80000.0,26691.0,1,5,200.0,3
60000.0,15000.0,1,5,150.0,5
80000.0,12314.0,1,4,150.0,6
55000.0,4400.0,1,4,150.0,3
63000.0,16000.0,1,5,150.0,5
51000.0,9000.0,1,4,150.0,3
69900.0,8700.0,1,3,160.0,8
125000.0,1342.0,1,4,200.0,3
35900.0,19000.0,1,5,125.0,6
67000.0,13000.0,1,9,250.0,6
40000.0,13680.0,1,9,150.0,6
57000.0,28948.0,1,5,200.0,3
68000.0,16000.0,1,9,200.0,2
40000.0,20000.0,1,6,160.0,8
53000.0,18158.0,1,6,150.0,7
51000.0,39140.0,1,5,150.0,7
48000.0,27776.0,1,8,220.0,3
55000.0,32734.0,1,6,220.0,3
115000.0,5000.0,1,2,200.0,3
36000.0,39500.0,1,7,150.0,3
72000.0,29500.0,1,4,220.0,3
65000.0,2000.0,1,3,125.0,6
99000.0,4000.0,1,2,150.0,6
140000.0,2473.0,1,2,150.0,5
130000.0,9221.0,1,3,200.0,2
46000.0,37128.0,1,7,200.0,3
50000.0,9200.0,1,4,150.0,3
57000.0,28948.0,1,5,200.0,3
80000.0,12000.0,1,2,160.0,6
80000.0,3500.0,1,3,150.0,5
75000.0,11050.0,1,4,150.0,7
68000.0,10407.0,1,5,150.0,5
27000.0,23000.0,1,8,125.0,3
95000.0,23000.0,1,5,200.0,2
62000.0,11227.0,1,3,150.0,5
47500.0,30000.0,1,5,220.0,3
18000.0,22000.0,1,12,125.0,5
52000.0,33150.0,1,6,150.0,5
68000.0,12077.0,1,5,200.0,8
80000.0,5000.0,1,4,220.0,3
85000.0,16000.0,1,2,160.0,8
85000.0,15000.0,1,7,200.0,2
86000.0,15000.0,1,3,220.0,3
83000.0,500.0,1,3,150.0,7
85000.0,15000.0,1,7,200.0,2
86000.0,15000.0,1,3,220.0,3
83000.0,500.0,1,3,150.0,7
28000.0,35251.0,1,12,180.0,3
62500.0,26000.0,1,5,180.0,3
122500.0,10000.0,1,3,150.0,5
24500.0,15000.0,1,6,100.0,3
78500.0,26000.0,1,4,200.0,8
28000.0,28428.0,1,9,110.0,8
96000.0,17000.0,1,6,200.0,2
29500.0,15798.0,1,4,100.0,3
100000.0,4800.0,1,4,150.0,5
22000.0,22000.0,1,6,100.0,3
20000.0,55000.0,1,9,125.0,3
18787.0,28164.0,1,10,125.0,6
51500.0,20600.0,1,6,200.0,3
54200.0,5700.0,1,6,220.0,3
