price,kms_driven,owner,age,power,brand
35000.0,17654.0,1,3,110.0,8.0
119900.0,11000.0,1,4,350.0,1.0
600000.0,110.0,1,8,675.0,13.0
65000.0,16329.0,1,4,180.0,8.0
80000.0,10000.0,1,3,150.0,5.0
53499.0,25000.0,1,6,150.0,5.0
85000.0,8200.0,1,3,160.0,6.0
45000.0,12645.0,1,3,100.0,16.0
145000.0,9190.0,1,3,350.0,1.0
88000.0,19000.0,2,7,500.0,1.0
72000.0,20000.0,1,7,150.0,5.0
95000.0,9665.0,1,4,250.0,5.0
78000.0,9900.0,1,4,200.0,3.0
29499.0,20000.0,1,8,100.0,3.0
29900.0,20000.0,1,7,125.0,3.0
90000.0,11574.0,1,3,200.0,3.0
120000.0,23000.0,1,3,200.0,3.0
48000.0,24725.0,1,5,150.0,7.0
240000.0,15025.0,2,3,302.0,11.0
29900.0,20000.0,1,7,125.0,3.0
120000.0,23000.0,1,3,200.0,3.0
48000.0,24725.0,1,5,150.0,7.0
46500.0,3500.0,1,2,110.0,16.0
121700.0,24520.0,1,5,500.0,1.0
45000.0,23000.0,1,6,150.0,5.0
78000.0,9900.0,1,4,200.0,3.0
20000.0,29305.0,1,16,125.0,16.0
20800.0,30500.0,2,7,125.0,6.0
50000.0,19000.0,1,8,150.0,3.0
88000.0,21914.0,1,3,200.0,3.0
40900.0,15000.0,1,6,220.0,3.0
180000.0,17700.0,1,4,390.0,2.0
40000.0,30000.0,1,8,150.0,6.0
70000.0,100000.0,2,8,200.0,2.0
65000.0,43000.0,1,6,150.0,6.0
179000.0,3400.0,1,2,200.0,2.0
45000.0,36100.0,1,6,220.0,3.0
78000.0,8500.0,1,13,350.0,1.0
110000.0,2550.0,1,2,220.0,3.0
85000.0,18000.0,1,6,350.0,1.0
38000.0,35000.0,1,9,200.0,3.0
55346.0,38000.0,1,10,350.0,1.0
28000.0,45000.0,1,2,110.0,12.0
37000.0,10800.0,1,8,150.0,16.0
97000.0,4400.0,1,3,150.0,7.0
40000.0,357000.0,1,8,150.0,5.0
90000.0,15300.0,1,7,350.0,1.0
60000.0,30000.0,1,5,160.0,8.0
21900.0,30000.0,2,7,125.0,6.0
40000.0,64000.0,1,7,220.0,3.0
475000.0,11500.0,2,3,600.0,11.0
34500.0,17056.0,1,5,110.0,6.0
30200.0,45000.0,1,7,150.0,7.0
25000.0,38000.0,1,9,150.0,3.0
107100.0,15438.0,2,3,350.0,1.0
80000.0,6000.0,1,3,220.0,3.0
88000.0,19000.0,1,5,350.0,1.0
12200.0,46643.0,1,14,100.0,16.0
106000.0,19000.0,1,6,350.0,1.0
29500.0,40700.0,1,12,220.0,3.0
110000.0,1600.0,1,6,350.0,1.0
27000.0,44410.0,1,10,125.0,3.0
65000.0,9800.0,1,11,350.0,1.0
150000.0,15000.0,1,3,350.0,1.0
55786.0,68000.0,2,7,223.0,16.0
45000.0,17757.0,1,8,180.0,3.0
146000.0,3900.0,1,2,250.0,5.0
115000.0,23700.0,1,4,350.0,1.0
30000.0,8250.0,1,3,100.0,3.0
93100.0,10000.0,1,5,200.0,3.0
82000.0,4300.0,2,3,150.0,5.0
260000.0,3800.0,1,2,650.0,1.0
38000.0,33000.0,1,7,125.0,6.0
118000.0,19000.0,1,4,410.0,1.0
14700.0,10000.0,1,11,135.0,3.0
85000.0,54000.0,1,6,350.0,1.0
40000.0,27000.0,1,7,220.0,3.0
50000.0,19000.0,1,6,150.0,5.0
71800.0,43500.0,1,7,350.0,1.0
71800.0,43500.0,1,7,350.0,1.0
75000.0,11575.0,1,4,200.0,3.0
